c0;c1;c2;c3;c4;c5;
241;1 12 23 33 38 3 9;1;12;23;33;38;3;9
242;1 7 13 19 25 1 8;1;7;13;19;25;1;8
243;9 11 25 27 48 3 8;9;11;25;27;48;3;8
244;6 7 20 26 31 1 3;6;7;20;26;31;1;3
245;12 16 34 42 44 2 6;12;16;34;42;44;2;6
246;7 18 21 26 32 4 9;7;18;21;26;32;4;9
247;41 42 43 44 45 1 8;41;42;43;44;45;1;8
248;22 30 33 42 44 6 8;22;30;33;42;44;6;8
249;2 10 16 20 33 2 10;2;10;16;20;33;2;10
250;5 21 30 43 50 7 11;5;21;30;43;50;7;11
251;2 15 16 37 44 3 6;2;15;16;37;44;3;6
252;21 27 33 39 45 6 8;21;27;33;39;45;6;8
